# report v0.1.0 (Apr 13, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-04-17 15:13:36
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT3002	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Tredecimvirus|s__Haloarcula_virus_HVTV_2	0	1	0.162084	na	na	na
MSBT1783	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Tredecimvirus|s__Halovirus_HCTV_5	0	1	0.164953	na	na	na
MSBT2997	k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Thumleimavirales|f__Druskaviridae|g__Hacavirus|s__Haloarcula_virus_HCTV_16	0	1	0.164249	na	na	na
MSBT2320	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Indivirus|s__Indivirus_ILV1	0	1	0.284323	na	na	na
MSBT2321	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Hokovirus|s__Hokovirus_HKV1	0	1	0.263665	na	na	na
MSBT2560	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Tupanvirus|s__Tupanvirus_soda_lake	0	1	0.330457	na	na	na
MSBT2533	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Bandra_megavirus	0	1	0.288995	na	na	na
MSBT2554	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Megavirus_vitis	0	1	0.288347	na	na	na
MSBT2195	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba_castellanii_mimivirus	0	2	0.295888	na	na	na
MSBT1658	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Mimivirus_terra2	0	1	0.294965	na	na	na
MSBT1657	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Megavirus_courdo7	0	1	0.277845	na	na	na
MSBT1376	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba_castellanii_mamavirus	0	1	0.296446	na	na	na
MSBT1886	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Hirudovirus_strain_Sangsue	0	1	0.295945	na	na	na
