# report v0.1.0 (Mar 6, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-03-30 17:10:30.520239
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT705	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Heliothis_virescens_ascovirus_3a	0	5	0.233043	0.0	0.0	0.0
MSBT1116	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Trichoplusia_ni_ascovirus_2c	0	1	0.126372	0.0	0.0	0.0
MSBT381	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Phaeovirus|s__Ectocarpus_siliculosus_virus_1	0	1	0.233986	0.0	0.0	0.0
MSBT2841	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Chrysochromulina_parva_virus	0	1	0.153664	0.0	0.0	0.0
MSBT1006	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Phaeocystis_globosa_virus	0	2	0.209141	0.0	0.0	0.0
MSBT1510	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Phaeocystis_globosa_virus_12T	0	1	0.209058	0.0	0.0	0.0
MSBT1511	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Phaeocystis_globosa_virus_14T	0	1	0.207415	0.0	0.0	0.0
MSBT667	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Raphidovirus|s__Heterosigma_akashiwo_virus_01	0	1	0.139903	0.0	0.0	0.0
MSBT843	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_203	0	1	0.237265	0.0	0.0	0.0
MSBT845	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_208	0	1	0.239866	0.0	0.0	0.0
MSBT844	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_207	0	1	0.243499	0.0	0.0	0.0
MSBT841	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_201	0	1	0.239173	0.0	0.0	0.0
MSBT842	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_202	0	1	0.243066	0.0	0.0	0.0
MSBT847	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_88	0	1	0.23589	0.0	0.0	0.0
MSBT840	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_86	0	1	0.238265	0.0	0.0	0.0
MSBT846	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_84	0	1	0.236204	0.0	0.0	0.0
MSBT866	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_99B1	0	1	0.230888	0.0	0.0	0.0
MSBT2015	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Yellowstone_lake_phycodnavirus_2	0	1	0.148805	0.0	0.0	0.0
MSBT2962	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Prasinovirus_sp	0	2	0.088192	0.0	0.0	0.0
MSBT2536	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Dishui_lake_phycodnavirus_1	0	1	0.142379	0.0	0.0	0.0
MSBT2058	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_lucimarinus_virus_2	0	1	0.155	0.0	0.0	0.0
MSBT2123	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_tauri_virus_OtV5	0	1	0.152663	0.0	0.0	0.0
MSBT1423	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_tauri_virus_1	0	1	0.155839	0.0	0.0	0.0
MSBT1197	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Micromonas_pusilla_virus_PL1	0	1	0.160658	0.0	0.0	0.0
MSBT2896	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Dishui_Lake_phycodnavirus_3	0	1	0.154935	0.0	0.0	0.0
MSBT1483	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prasinovirus|s__Ostreococcus_tauri_virus_2	0	1	0.147752	0.0	0.0	0.0
